teamName,teamId,internationalSide
Thailand,3393,1
Togo,1250,1
Tonga,47,1
Tonga,3394,1
Trinidad & Tobago,774,1
Trinidad & Tobago,3324,1
Tunisia,775,1
Tunisia,4589,1
Tunisia,0,0
Turkey,3404,1
Turks and Caicos Islands,3566,1
Uganda,776,1
Uganda,2964,1
Uganda,0,0
Uganda A,3050,0
Ukraine,777,1
United Arab Emirates,3223,1
Uruguay,68,1
Uruguay XV,4384,0
USA,2583,1
USA,51,1
USA Select XV,3185,0
USA South,3236,0
USA U23,0afe6bed-802f-418f-94d5-4e9ae3d8d38b,0
USSR,1168,1
Uzbekistan,2861,1
Uzbekistan,3400,1
Vanuatu,780,1
Venezuela,781,1
Wahine Maori,4717,0
Wales,33,1
Wales,2520,1
Wellington Province,2176,0
West Germany,721,1
West Germany XV,4396,0
Western Force,2587,0
World XV,65,0
World XV,3402,0
Yugoslavia,783,1
Zambia,784,1
Zambia,3401,1
Zimbabwe,57,1
Zimbabwe,3395,1
